Feature,Importance
Num Supports,0.18164576486018846
long_term_value_score,0.16836530873234057
innovation_score,0.16588495004439058
compliance_or_regulatory_benefit,0.07397444674085883
strategic_timeline_alignment,0.07263510667983097
executive_priority_flag,0.07141611818064099
mission_critical_flag,0.05541023332802976
supports_key_initiative_Automation,0.04827713359158685
aligns_with_okrs,0.04571069951388836
supports_key_initiative_Sustainability,0.041694367029422676
supports_key_initiative_Unknown,0.03795171258185361
supports_key_initiative_AI,0.037034158716968274
